WX: top_k=6, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5102
WX: top_k=6, lambda=1.32143, top_site=L0-d0, exact=0.5273, gold prob=0.5302
WX: top_k=6, lambda=1.85714, top_site=L0-d0, exact=0.5547, gold prob=0.5527
WX: top_k=6, lambda=2.39286, top_site=L0-d0, exact=0.5742, gold prob=0.5758
WX: top_k=6, lambda=2.92857, top_site=L0-d0, exact=0.5898, gold prob=0.5881
WX: top_k=6, lambda=3.46429, top_site=L0-d0, exact=0.5938, gold prob=0.5925
WX: top_k=6, lambda=4, top_site=L0-d0, exact=0.5898, gold prob=0.5975
WX: top_k=7, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=7, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=7, lambda=1.32143, top_site=L0-d0, exact=0.5273, gold prob=0.5270
WX: top_k=7, lambda=1.85714, top_site=L0-d0, exact=0.5391, gold prob=0.5413
WX: top_k=7, lambda=2.39286, top_site=L0-d0, exact=0.5625, gold prob=0.5615
WX: top_k=7, lambda=2.92857, top_site=L0-d0, exact=0.5781, gold prob=0.5782
WX: top_k=7, lambda=3.46429, top_site=L0-d0, exact=0.5898, gold prob=0.5907
WX: top_k=7, lambda=4, top_site=L0-d0, exact=0.5898, gold prob=0.5925
WX: top_k=8, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=8, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=8, lambda=1.32143, top_site=L0-d0, exact=0.5234, gold prob=0.5211
WX: top_k=8, lambda=1.85714, top_site=L0-d0, exact=0.5312, gold prob=0.5322
WX: top_k=8, lambda=2.39286, top_site=L0-d0, exact=0.5508, gold prob=0.5517
WX: top_k=8, lambda=2.92857, top_site=L0-d0, exact=0.5664, gold prob=0.5683
WX: top_k=8, lambda=3.46429, top_site=L0-d0, exact=0.5781, gold prob=0.5805
WX: top_k=9, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=9, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=9, lambda=1.32143, top_site=L0-d0, exact=0.5117, gold prob=0.5142
WX: top_k=9, lambda=1.85714, top_site=L0-d0, exact=0.5273, gold prob=0.5289
WX: top_k=9, lambda=2.39286, top_site=L0-d0, exact=0.5391, gold prob=0.5417
WX: top_k=9, lambda=2.92857, top_site=L0-d0, exact=0.5586, gold prob=0.5578
WX: top_k=9, lambda=3.46429, top_site=L0-d0, exact=0.5703, gold prob=0.5728
WX: top_k=9, lambda=4, top_site=L0-d0, exact=0.5820, gold prob=0.5808
WX: top_k=10, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=10, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=10, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5103
WX: top_k=10, lambda=1.85714, top_site=L0-d0, exact=0.5273, gold prob=0.5268
WX: top_k=10, lambda=2.39286, top_site=L0-d0, exact=0.5312, gold prob=0.5334
WX: top_k=10, lambda=2.92857, top_site=L0-d0, exact=0.5508, gold prob=0.5500
WX: top_k=10, lambda=3.46429, top_site=L0-d0, exact=0.5664, gold prob=0.5644
WX: top_k=10, lambda=4, top_site=L0-d0, exact=0.5703, gold prob=0.5748
WX: top_k=11, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=11, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=11, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5088
WX: top_k=11, lambda=1.85714, top_site=L0-d0, exact=0.5234, gold prob=0.5228
WX: top_k=11, lambda=2.39286, top_site=L0-d0, exact=0.5312, gold prob=0.5302
WX: top_k=11, lambda=2.92857, top_site=L0-d0, exact=0.5391, gold prob=0.5421
WX: top_k=11, lambda=3.46429, top_site=L0-d0, exact=0.5547, gold prob=0.5554
WX: top_k=11, lambda=4, top_site=L0-d0, exact=0.5742, gold prob=0.5696
WX: top_k=12, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=12, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=12, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=12, lambda=1.85714, top_site=L0-d0, exact=0.5117, gold prob=0.5157
WX: top_k=12, lambda=2.39286, top_site=L0-d0, exact=0.5273, gold prob=0.5282
WX: top_k=12, lambda=2.92857, top_site=L0-d0, exact=0.5352, gold prob=0.5378
WX: top_k=12, lambda=3.46429, top_site=L0-d0, exact=0.5547, gold prob=0.5539
WX: top_k=12, lambda=4, top_site=L0-d0, exact=0.5625, gold prob=0.5635
WX: top_k=13, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=13, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=13, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=13, lambda=1.85714, top_site=L0-d0, exact=0.5117, gold prob=0.5125
WX: top_k=13, lambda=2.39286, top_site=L0-d0, exact=0.5273, gold prob=0.5257
WX: top_k=13, lambda=2.92857, top_site=L0-d0, exact=0.5312, gold prob=0.5344
WX: top_k=13, lambda=3.46429, top_site=L0-d0, exact=0.5508, gold prob=0.5483
WX: top_k=13, lambda=4, top_site=L0-d0, exact=0.5547, gold prob=0.5566
WX: top_k=14, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=14, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=14, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=14, lambda=1.85714, top_site=L0-d0, exact=0.5117, gold prob=0.5105
WX: top_k=14, lambda=2.39286, top_site=L0-d0, exact=0.5234, gold prob=0.5214
WX: top_k=14, lambda=2.92857, top_site=L0-d0, exact=0.5273, gold prob=0.5291
WX: top_k=14, lambda=3.46429, top_site=L0-d0, exact=0.5391, gold prob=0.5404
WX: top_k=14, lambda=4, top_site=L0-d0, exact=0.5586, gold prob=0.5534
WX: top_k=15, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=15, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=15, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=15, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5091
WX: top_k=15, lambda=2.39286, top_site=L0-d0, exact=0.5156, gold prob=0.5173
WX: top_k=15, lambda=2.92857, top_site=L0-d0, exact=0.5273, gold prob=0.5268
WX: top_k=15, lambda=3.46429, top_site=L0-d0, exact=0.5312, gold prob=0.5343
WX: top_k=15, lambda=4, top_site=L0-d0, exact=0.5469, gold prob=0.5480
WX: top_k=16, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=16, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=16, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=16, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5085
WX: top_k=16, lambda=2.39286, top_site=L0-d0, exact=0.5117, gold prob=0.5138
WX: top_k=16, lambda=2.92857, top_site=L0-d0, exact=0.5234, gold prob=0.5247
WX: top_k=16, lambda=3.46429, top_site=L0-d0, exact=0.5273, gold prob=0.5307
WX: top_k=16, lambda=4, top_site=L0-d0, exact=0.5391, gold prob=0.5413
WX: top_k=17, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=17, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
